Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,230.39999389648438,238.0,225.0,234.5500030517578,230.57456970214844,12892
2020-08-27,235.75,241.9499969482422,231.35000610351562,234.75,230.77117919921875,4922
2020-08-28,237.5500030517578,238.0,225.89999389648438,229.3000030517578,225.41355895996094,9176
2020-08-31,235.8000030517578,243.0,219.3000030517578,223.75,219.95762634277344,28492
2020-09-01,228.85000610351562,228.89999389648438,216.0,223.35000610351562,219.5644073486328,3595
2020-09-02,232.0,232.0,220.1999969482422,225.5,221.67796325683594,2392
2020-09-03,226.9499969482422,227.0,221.0500030517578,224.10000610351562,220.30169677734375,4052
2020-09-04,220.0,227.0,215.0500030517578,224.5,220.69491577148438,2475
2020-09-07,223.0,224.85000610351562,221.25,222.89999389648438,219.1220245361328,1588
2020-09-08,222.75,224.75,213.0,218.85000610351562,215.14068603515625,15480
2020-09-09,217.0,226.10000610351562,213.0500030517578,223.5,219.71185302734375,168888
2020-09-10,240.0,248.64999389648438,230.39999389648438,232.60000610351562,228.65762329101562,192508
2020-09-11,232.60000610351562,232.60000610351562,224.0,225.10000610351562,221.2847442626953,18384
2020-09-14,228.0,233.8000030517578,223.5,228.25,224.38134765625,24072
2020-09-15,225.9499969482422,238.75,223.4499969482422,229.89999389648438,226.0033721923828,17893
2020-09-16,229.1999969482422,240.0,227.14999389648438,236.9499969482422,232.9338836669922,66564
2020-09-17,237.0,243.0,233.0,235.4499969482422,231.45932006835938,6793
2020-09-18,240.6999969482422,240.6999969482422,227.5,230.5500030517578,226.64236450195312,39879
2020-09-21,230.35000610351562,230.35000610351562,220.0,222.35000610351562,218.58135986328125,7438
2020-09-22,223.0,228.25,214.0500030517578,223.64999389648438,219.85931396484375,11899
2020-09-23,223.0500030517578,232.0,217.10000610351562,218.25,214.55084228515625,4208
2020-09-24,216.14999389648438,220.0,214.0,214.3000030517578,210.6678009033203,5287
2020-09-25,219.0500030517578,224.85000610351562,215.0,223.85000610351562,220.05593872070312,6235
2020-09-28,230.0,243.89999389648438,227.1999969482422,240.9499969482422,236.8660888671875,69647
2020-09-29,244.0500030517578,251.0,238.10000610351562,239.5500030517578,235.4898223876953,19003
2020-09-30,240.0500030517578,242.39999389648438,231.5,232.9499969482422,229.00169372558594,6158
2020-10-01,239.9499969482422,239.9499969482422,228.0,229.3000030517578,225.41355895996094,5286
2020-10-05,230.0,234.5,221.0,223.0500030517578,219.2694854736328,10659
