Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-08-27,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-08-28,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-08-31,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-01,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-02,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-03,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-04,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-07,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-08,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,76.4000015258789,0
2020-09-09,81.0,81.0,81.0,81.0,81.0,1600
2020-09-10,81.0,81.0,81.0,81.0,81.0,0
2020-09-11,81.0,81.0,81.0,81.0,81.0,800
2020-09-14,85.0,91.0,85.0,91.0,91.0,1600
2020-09-15,97.0,97.0,97.0,97.0,97.0,800
2020-09-16,97.0,97.0,97.0,97.0,97.0,0
2020-09-17,97.0,97.0,97.0,97.0,97.0,0
2020-09-18,94.5,94.5,94.5,94.5,94.5,800
2020-09-21,94.5,94.5,94.5,94.5,94.5,0
2020-09-22,94.25,94.25,94.25,94.25,94.25,1600
2020-09-23,94.0,94.0,94.0,94.0,94.0,800
2020-09-24,94.5,94.5,94.5,94.5,94.5,1600
2020-09-25,94.5,94.5,94.5,94.5,94.5,0
2020-09-28,94.5,94.5,94.5,94.5,94.5,0
2020-09-29,94.5,94.5,94.5,94.5,94.5,0
2020-09-30,94.5,94.5,94.5,94.5,94.5,0
2020-10-01,94.5,94.5,94.5,94.5,94.5,0
2020-10-05,92.0,92.0,92.0,92.0,92.0,800
2020-10-06,92.0,92.0,92.0,92.0,92.0,0
2020-10-07,92.0,92.0,92.0,92.0,92.0,0
2020-10-08,92.0,92.0,92.0,92.0,92.0,0
2020-10-09,92.0,92.0,92.0,92.0,92.0,0
2020-10-12,92.0,92.0,92.0,92.0,92.0,0
2020-10-13,92.0,92.0,92.0,92.0,92.0,0
2020-10-14,92.0,92.0,92.0,92.0,92.0,0
2020-10-15,92.0,92.0,92.0,92.0,92.0,0
2020-10-16,92.0,92.0,92.0,92.0,92.0,0
2020-10-19,92.0,92.0,92.0,92.0,92.0,0
2020-10-20,92.0,92.0,92.0,92.0,92.0,0
2020-10-21,92.0,92.0,92.0,92.0,92.0,0
2020-10-22,92.0,92.0,92.0,92.0,92.0,0
2020-10-23,92.0,92.0,92.0,92.0,92.0,0
2020-10-26,92.0,92.0,92.0,92.0,92.0,0
2020-10-27,92.0,92.0,92.0,92.0,92.0,0
2020-10-28,92.0,92.0,92.0,92.0,92.0,0
2020-10-29,92.0,92.0,92.0,92.0,92.0,0
2020-10-30,92.0,92.0,92.0,92.0,92.0,0
2020-11-02,92.0,92.0,92.0,92.0,92.0,0
2020-11-03,92.0,92.0,92.0,92.0,92.0,0
2020-11-04,92.0,92.0,92.0,92.0,92.0,0
2020-11-05,92.0,92.0,92.0,92.0,92.0,0
2020-11-06,92.0,92.0,92.0,92.0,92.0,0
2020-11-09,92.0,92.0,92.0,92.0,92.0,0
2020-11-10,92.0,92.0,92.0,92.0,92.0,0
2020-11-11,92.0,92.0,92.0,92.0,92.0,0
2020-11-12,92.0,92.0,92.0,92.0,92.0,0
2020-11-13,92.0,92.0,92.0,92.0,92.0,0
2020-11-17,92.0,92.0,92.0,92.0,92.0,0
2020-11-18,92.0,92.0,92.0,92.0,92.0,0
2020-11-19,92.0,92.0,92.0,92.0,92.0,0
2020-11-20,92.0,92.0,92.0,92.0,92.0,0
2020-11-23,92.0,92.0,92.0,92.0,92.0,0
2020-11-24,92.0,92.0,92.0,92.0,92.0,0
2020-11-25,92.0,92.0,92.0,92.0,92.0,0
2020-11-26,92.0,92.0,92.0,92.0,92.0,0
2020-11-27,92.0,92.0,92.0,92.0,92.0,0
2020-12-01,92.0,92.0,92.0,92.0,92.0,0
2020-12-02,92.0,92.0,92.0,92.0,92.0,0
2020-12-03,92.0,92.0,92.0,92.0,92.0,0
2020-12-04,92.0,92.0,92.0,92.0,92.0,0
2020-12-07,92.0,92.0,92.0,92.0,92.0,0
2020-12-08,92.0,92.0,92.0,92.0,92.0,0
2020-12-09,92.0,92.0,92.0,92.0,92.0,0
2020-12-10,92.0,92.0,92.0,92.0,92.0,0
2020-12-11,92.0,92.0,92.0,92.0,92.0,0
2020-12-14,92.0,92.0,92.0,92.0,92.0,0
2020-12-15,92.0,92.0,92.0,92.0,92.0,0
2020-12-16,92.0,92.0,92.0,92.0,92.0,0
2020-12-17,92.0,92.0,92.0,92.0,92.0,0
2020-12-18,92.0,92.0,92.0,92.0,92.0,0
2020-12-21,92.0,92.0,92.0,92.0,92.0,0
2020-12-22,92.0,92.0,92.0,92.0,92.0,0
2020-12-23,92.0,92.0,92.0,92.0,92.0,0
2020-12-24,92.0,92.0,92.0,92.0,92.0,0
2020-12-28,92.0,92.0,92.0,92.0,92.0,0
2020-12-29,92.0,92.0,92.0,92.0,92.0,0
2020-12-30,92.0,92.0,92.0,92.0,92.0,0
2020-12-31,92.0,92.0,92.0,92.0,92.0,0
2021-01-01,92.0,92.0,92.0,92.0,92.0,0
2021-01-04,92.0,92.0,92.0,92.0,92.0,0
2021-01-05,92.0,92.0,92.0,92.0,92.0,0
2021-01-06,92.0,92.0,92.0,92.0,92.0,0
2021-01-07,92.0,92.0,92.0,92.0,92.0,0
2021-01-08,92.0,92.0,92.0,92.0,92.0,0
2021-01-11,92.0,92.0,92.0,92.0,92.0,0
2021-01-12,92.0,92.0,92.0,92.0,92.0,0
2021-01-13,92.0,92.0,92.0,92.0,92.0,0
2021-01-14,92.0,92.0,92.0,92.0,92.0,0
2021-01-15,92.0,92.0,92.0,92.0,92.0,0
2021-01-18,92.0,92.0,92.0,92.0,92.0,0
2021-01-19,92.0,92.0,92.0,92.0,92.0,0
2021-01-20,92.0,92.0,92.0,92.0,92.0,0
2021-01-21,92.0,92.0,92.0,92.0,92.0,0
2021-01-22,92.0,92.0,92.0,92.0,92.0,0
2021-01-25,92.0,92.0,92.0,92.0,92.0,0
2021-01-27,92.0,92.0,92.0,92.0,92.0,0
2021-01-28,92.0,92.0,92.0,92.0,92.0,0
2021-01-29,92.0,92.0,92.0,92.0,92.0,0
2021-02-01,92.0,92.0,92.0,92.0,92.0,0
2021-02-02,92.0,92.0,92.0,92.0,92.0,0
2021-02-03,92.0,92.0,92.0,92.0,92.0,0
2021-02-04,92.0,92.0,92.0,92.0,92.0,0
2021-02-05,92.0,92.0,92.0,92.0,92.0,0
2021-02-08,92.0,92.0,92.0,92.0,92.0,0
2021-02-09,92.0,92.0,92.0,92.0,92.0,0
2021-02-10,92.0,92.0,92.0,92.0,92.0,0
2021-02-11,92.0,92.0,92.0,92.0,92.0,0
2021-02-12,92.0,92.0,92.0,92.0,92.0,0
2021-02-15,92.0,92.0,92.0,92.0,92.0,0
2021-02-16,92.0,92.0,92.0,92.0,92.0,0
2021-02-17,92.0,92.0,92.0,92.0,92.0,0
2021-02-18,92.0,92.0,92.0,92.0,92.0,0
2021-02-19,92.0,92.0,92.0,92.0,92.0,0
2021-02-22,92.0,92.0,92.0,92.0,92.0,0
2021-02-23,92.0,92.0,92.0,92.0,92.0,0
2021-02-24,92.0,92.0,92.0,92.0,92.0,0
2021-02-25,92.0,92.0,92.0,92.0,92.0,0
2021-02-26,92.0,92.0,92.0,92.0,92.0,0
2021-03-01,92.0,92.0,92.0,92.0,92.0,0
2021-03-02,92.0,92.0,92.0,92.0,92.0,0
2021-03-03,92.0,92.0,92.0,92.0,92.0,0
2021-03-04,92.0,92.0,92.0,92.0,92.0,0
2021-03-05,92.0,92.0,92.0,92.0,92.0,0
2021-03-08,92.0,92.0,92.0,92.0,92.0,0
2021-03-09,92.0,92.0,92.0,92.0,92.0,0
2021-03-10,92.0,92.0,92.0,92.0,92.0,0
2021-03-12,92.0,92.0,92.0,92.0,92.0,0
2021-03-15,92.0,92.0,92.0,92.0,92.0,0
2021-03-16,92.0,92.0,92.0,92.0,92.0,0
2021-03-17,92.0,92.0,92.0,92.0,92.0,0
2021-03-18,92.0,92.0,92.0,92.0,92.0,0
2021-03-19,92.0,92.0,92.0,92.0,92.0,0
2021-03-22,92.0,92.0,92.0,92.0,92.0,0
2021-03-23,92.0,92.0,92.0,92.0,92.0,0
2021-03-24,92.0,92.0,92.0,92.0,92.0,0
2021-03-25,92.0,92.0,92.0,92.0,92.0,0
2021-03-26,92.0,92.0,92.0,92.0,92.0,0
2021-03-30,92.0,92.0,92.0,92.0,92.0,0
2021-03-31,92.0,92.0,92.0,92.0,92.0,0
2021-04-01,92.0,92.0,92.0,92.0,92.0,0
2021-04-05,92.0,92.0,92.0,92.0,92.0,0
2021-04-06,92.0,92.0,92.0,92.0,92.0,0
2021-04-07,92.0,92.0,92.0,92.0,92.0,0
2021-04-08,92.0,92.0,92.0,92.0,92.0,0
2021-04-09,92.0,92.0,92.0,92.0,92.0,0
2021-04-12,92.0,92.0,92.0,92.0,92.0,0
2021-04-13,92.0,92.0,92.0,92.0,92.0,0
2021-04-15,92.0,92.0,92.0,92.0,92.0,0
2021-04-16,92.0,92.0,92.0,92.0,92.0,0
2021-04-19,92.0,92.0,92.0,92.0,92.0,0
2021-04-20,92.0,92.0,92.0,92.0,92.0,0
2021-04-22,92.0,92.0,92.0,92.0,92.0,0
2021-04-23,92.0,92.0,92.0,92.0,92.0,0
