Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,94.0,94.5,94.0,94.5,94.5,3200
2020-08-27,94.0,95.0,94.0,95.0,95.0,2400
2020-08-28,94.5,95.0,94.5,94.75,94.75,3200
2020-08-31,83.0,89.0,83.0,89.0,89.0,3200
2020-09-01,90.0,91.5,90.0,91.5,91.5,1600
2020-09-02,92.0,93.0,92.0,93.0,93.0,2400
2020-09-03,92.75,92.75,92.5,92.5,92.5,2400
2020-09-04,92.0,93.0,92.0,92.5,92.5,2400
2020-09-08,93.0,93.0,92.5,92.5,92.5,5600
2020-09-09,82.0,88.0,82.0,87.0,87.0,4000
2020-09-10,88.5,91.5,88.5,91.5,91.5,6400
2020-09-11,92.0,92.25,91.0,92.0,92.0,8000
2020-09-14,91.5,92.0,91.19999694824219,92.0,92.0,7200
2020-09-15,91.69999694824219,92.0,91.69999694824219,92.0,92.0,2400
2020-09-16,91.5,92.0,91.5,92.0,92.0,2400
2020-09-17,91.0,91.5,91.0,91.5,91.5,2400
2020-09-18,91.69999694824219,92.0,91.69999694824219,92.0,92.0,2400
2020-09-21,92.5,92.5,91.5,92.0,92.0,2400
2020-09-22,92.0,92.0,91.0,91.25,91.25,2400
2020-09-23,91.5,92.0,91.5,92.0,92.0,1600
2020-09-24,91.0,91.5,91.0,91.0,91.0,2400
2020-09-25,91.0,92.0,91.0,92.0,92.0,2400
2020-09-28,92.0,92.25,92.0,92.25,92.25,2400
2020-09-29,91.5,92.0,91.5,92.0,92.0,1600
2020-09-30,92.0,92.0,91.5,92.0,92.0,3200
2020-10-01,92.25,92.25,92.0,92.0,92.0,1600
2020-10-02,92.0,92.0,92.0,92.0,92.0,0
2020-10-05,91.75,92.0,91.75,92.0,92.0,2400
2020-10-06,91.75,92.25,91.75,92.0,92.0,2400
2020-10-07,91.5,92.0,91.5,92.0,92.0,1600
2020-10-08,92.0,92.0,92.0,92.0,92.0,1600
2020-10-09,92.0,92.0,91.75,92.0,92.0,2400
2020-10-12,91.5,92.0,91.5,92.0,92.0,2400
2020-10-13,92.0,92.0,91.5,92.0,92.0,2400
2020-10-14,91.5,92.0,91.5,91.75,91.75,5600
2020-10-15,91.0,92.5,91.0,92.5,92.5,4800
2020-10-16,92.0,94.0,92.0,93.75,93.75,5600
2020-10-19,93.75,94.3499984741211,93.75,94.3499984741211,94.3499984741211,5600
2020-10-20,94.0,95.0,94.0,95.0,95.0,4800
2020-10-21,95.0,95.0,95.0,95.0,95.0,1600
2020-10-22,95.0,95.0,95.0,95.0,95.0,800
2020-10-23,95.0,95.0,95.0,95.0,95.0,0
2020-10-26,94.5,94.5,94.5,94.5,94.5,800
2020-10-27,94.5,94.5,94.5,94.5,94.5,1600
2020-10-28,94.0,94.0,94.0,94.0,94.0,800
2020-10-29,94.0,94.0,94.0,94.0,94.0,800
2020-10-30,94.0,94.0,94.0,94.0,94.0,800
2020-11-02,94.0,94.0,94.0,94.0,94.0,0
2020-11-03,93.5,93.5,93.5,93.5,93.5,800
2020-11-04,93.5,93.5,93.5,93.5,93.5,0
2020-11-05,93.5,93.5,93.5,93.5,93.5,0
2020-11-06,93.5,93.5,93.5,93.5,93.5,0
2020-11-09,95.0,95.0,95.0,95.0,95.0,800
2020-11-10,95.0,95.0,95.0,95.0,95.0,0
2020-11-11,95.0,95.0,95.0,95.0,95.0,0
2020-11-12,95.0,95.0,95.0,95.0,95.0,0
2020-11-13,95.0,95.0,95.0,95.0,95.0,0
2020-11-16,95.0,95.0,95.0,95.0,95.0,0
2020-11-17,95.0,95.0,95.0,95.0,95.0,0
2020-11-18,95.0,95.0,95.0,95.0,95.0,0
2020-11-19,95.0,95.0,95.0,95.0,95.0,0
2020-11-20,95.0,95.0,95.0,95.0,95.0,0
2020-11-23,95.0,95.0,95.0,95.0,95.0,0
2020-11-24,95.0,95.0,95.0,95.0,95.0,0
2020-11-25,95.0,95.0,95.0,95.0,95.0,0
2020-11-27,95.0,95.0,95.0,95.0,95.0,0
2020-11-30,95.0,95.0,95.0,95.0,95.0,0
2020-12-01,95.0,95.0,95.0,95.0,95.0,0
2020-12-02,95.0,95.0,95.0,95.0,95.0,0
2020-12-03,94.5,94.5,87.0,89.0,89.0,2400
2020-12-04,91.0,92.5,91.0,92.5,92.5,3200
2020-12-07,93.0,93.5,92.75,93.25,93.25,4000
2020-12-08,95.0,95.0,94.5,95.0,95.0,4800
2020-12-09,95.0,95.5,95.0,95.5,95.5,3200
2020-12-10,95.0,95.0,94.5,94.75,94.75,3200
2020-12-11,95.0,95.5,94.75,95.5,95.5,2400
2020-12-14,95.0,95.0,95.0,95.0,95.0,1600
2020-12-15,85.0,90.0,85.0,90.0,90.0,2400
2020-12-16,90.0,91.0,90.0,91.0,91.0,1600
2020-12-17,91.5,92.0,91.5,92.0,92.0,1600
2020-12-18,83.0,89.0,83.0,88.5,88.5,2400
2020-12-21,90.0,90.0,90.0,90.0,90.0,800
2020-12-22,90.5,90.5,90.5,90.5,90.5,800
