Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,285.5,291.8999938964844,278.1000061035156,289.6000061035156,287.3370666503906,69038
2020-08-27,292.0,299.8999938964844,286.0,298.20001220703125,295.869873046875,75877
2020-08-28,302.0,302.0,282.25,294.6499938964844,292.34759521484375,52771
2020-08-31,292.8500061035156,294.0,258.0,262.45001220703125,260.3992004394531,48807
2020-09-01,265.8999938964844,274.8999938964844,256.04998779296875,261.95001220703125,259.9031066894531,15896
2020-09-02,271.20001220703125,280.0,268.0,274.75,272.60308837890625,29962
2020-09-03,279.3999938964844,279.3999938964844,269.0,270.3999938964844,268.2870788574219,10767
2020-09-04,268.0,270.0,260.0,262.8500061035156,260.79608154296875,12514
2020-09-07,268.95001220703125,269.95001220703125,255.64999389648438,262.6499938964844,260.5976257324219,7166
2020-09-08,263.8999938964844,271.1499938964844,262.5,269.1499938964844,267.0468444824219,24513
2020-09-09,265.54998779296875,267.54998779296875,253.0,254.5,252.51132202148438,26913
2020-09-10,257.70001220703125,259.8999938964844,255.0,257.3999938964844,255.38865661621094,10154
2020-09-11,259.3500061035156,260.0,254.0,255.9499969482422,253.9499969482422,4128
2020-09-14,262.8999938964844,276.54998779296875,262.8999938964844,272.3999938964844,272.3999938964844,32376
2020-09-15,272.45001220703125,272.45001220703125,267.3500061035156,270.54998779296875,270.54998779296875,8621
2020-09-16,267.5,278.3500061035156,262.20001220703125,272.75,272.75,9001
2020-09-17,267.0,274.3500061035156,265.0,272.6000061035156,272.6000061035156,11623
2020-09-18,278.1499938964844,278.25,270.0,274.70001220703125,274.70001220703125,9622
2020-09-21,274.6499938964844,274.6499938964844,253.75,262.0,262.0,14118
2020-09-22,260.1000061035156,260.79998779296875,255.0,255.25,255.25,11114
2020-09-23,268.1000061035156,268.45001220703125,258.0,258.1000061035156,258.1000061035156,4534
2020-09-24,253.0500030517578,254.0,246.14999389648438,250.5500030517578,250.5500030517578,5105
2020-09-25,258.5,263.0,255.0500030517578,256.5,256.5,30085
2020-09-28,264.95001220703125,269.8999938964844,252.6999969482422,255.5500030517578,255.5500030517578,13195
2020-09-29,256.3500061035156,262.5,256.0,259.0,259.0,103621
2020-09-30,254.60000610351562,262.0,253.1999969482422,257.3999938964844,257.3999938964844,7170
2020-10-01,257.45001220703125,263.5,255.0,258.54998779296875,258.54998779296875,7104
2020-10-05,266.70001220703125,266.70001220703125,249.9499969482422,255.0,255.0,8322
2020-10-06,259.1499938964844,259.20001220703125,254.0,255.9499969482422,255.9499969482422,3405
2020-10-07,256.95001220703125,259.8999938964844,256.95001220703125,259.3999938964844,259.3999938964844,2924
2020-10-08,257.75,262.8500061035156,257.70001220703125,259.45001220703125,259.45001220703125,105103
2020-10-09,263.04998779296875,264.8500061035156,260.04998779296875,260.3500061035156,260.3500061035156,4504
2020-10-12,262.54998779296875,262.54998779296875,250.75,253.39999389648438,253.39999389648438,2665
2020-10-13,257.75,257.75,249.0,250.0,250.0,6660
2020-10-14,247.1999969482422,253.9499969482422,246.0500030517578,251.60000610351562,251.60000610351562,1008
2020-10-15,251.3000030517578,253.6999969482422,246.0,249.3000030517578,249.3000030517578,1423
2020-10-16,246.14999389648438,254.9499969482422,246.10000610351562,253.0,253.0,2487
2020-10-19,248.0500030517578,255.4499969482422,245.25,255.0500030517578,255.0500030517578,3561
2020-10-20,250.0500030517578,259.79998779296875,246.0,256.04998779296875,256.04998779296875,112517
2020-10-21,260.0,262.29998779296875,251.5500030517578,258.95001220703125,258.95001220703125,4116
2020-10-22,259.70001220703125,259.95001220703125,253.1999969482422,255.0500030517578,255.0500030517578,2747
2020-10-23,252.5500030517578,259.95001220703125,251.60000610351562,259.5,259.5,3825
2020-10-26,258.0,273.8999938964844,258.0,272.1499938964844,272.1499938964844,17820
2020-10-27,265.1000061035156,278.0,265.1000061035156,274.45001220703125,274.45001220703125,7469
2020-10-28,279.8999938964844,294.79998779296875,277.25,280.1000061035156,280.1000061035156,36745
2020-10-29,270.54998779296875,279.70001220703125,250.14999389648438,253.9499969482422,253.9499969482422,27135
2020-10-30,257.0,275.0,255.9499969482422,268.45001220703125,268.45001220703125,23162
2020-11-02,263.04998779296875,280.20001220703125,260.04998779296875,268.79998779296875,268.79998779296875,15484
2020-11-03,262.04998779296875,267.0,260.0,261.95001220703125,261.95001220703125,6006
2020-11-04,265.3999938964844,265.3999938964844,261.0,262.75,262.75,1847
2020-11-05,266.6499938964844,269.75,261.70001220703125,266.3500061035156,266.3500061035156,4868
2020-11-06,265.95001220703125,268.45001220703125,263.29998779296875,266.6499938964844,266.6499938964844,54021
2020-11-09,266.6499938964844,271.75,264.0,265.20001220703125,265.20001220703125,9844
2020-11-10,268.3999938964844,268.3999938964844,264.1499938964844,265.04998779296875,265.04998779296875,12888
2020-11-11,264.25,267.70001220703125,256.70001220703125,263.45001220703125,263.45001220703125,9411
2020-11-12,264.8999938964844,270.1499938964844,264.0,268.0,268.0,139350
2020-11-13,270.8500061035156,278.0,270.75,275.8999938964844,275.8999938964844,10020
2020-11-17,285.0,293.45001220703125,278.1499938964844,291.25,291.25,19675
2020-11-18,282.54998779296875,294.25,282.54998779296875,293.54998779296875,293.54998779296875,12708
2020-11-19,285.04998779296875,305.0,285.0,299.29998779296875,299.29998779296875,40207
2020-11-20,297.95001220703125,314.8999938964844,294.79998779296875,312.8999938964844,312.8999938964844,33786
2020-11-23,316.1499938964844,323.3500061035156,311.1499938964844,315.6000061035156,315.6000061035156,40133
2020-11-24,314.25,319.8999938964844,309.0,309.75,309.75,33680
2020-11-25,309.75,313.95001220703125,306.0,306.95001220703125,306.95001220703125,11006
2020-11-26,306.04998779296875,310.0,299.04998779296875,308.0,308.0,7729
2020-11-27,312.0,331.20001220703125,306.45001220703125,327.0,327.0,34799
2020-12-01,343.0,343.0,327.1499938964844,337.25,337.25,103053
2020-12-02,340.0,342.3500061035156,336.0,337.45001220703125,337.45001220703125,22601
2020-12-03,349.8500061035156,352.0,337.0,348.95001220703125,348.95001220703125,31698
2020-12-04,347.04998779296875,355.0,346.1000061035156,348.8500061035156,348.8500061035156,48046
2020-12-07,350.0,350.04998779296875,341.6000061035156,346.1499938964844,346.1499938964844,22731
2020-12-08,346.1499938964844,350.0,332.1499938964844,337.3500061035156,337.3500061035156,21231
2020-12-09,340.95001220703125,341.0,328.20001220703125,334.1499938964844,334.1499938964844,24452
2020-12-10,339.8999938964844,339.8999938964844,330.0,332.04998779296875,332.04998779296875,9654
2020-12-11,336.0,338.0,326.8500061035156,328.70001220703125,328.70001220703125,17189
2020-12-14,327.5,335.8999938964844,321.0,322.95001220703125,322.95001220703125,29868
2020-12-15,324.5,327.75,319.95001220703125,321.1499938964844,321.1499938964844,33919
2020-12-16,329.5,339.79998779296875,325.0,326.45001220703125,326.45001220703125,62500
2020-12-17,330.8999938964844,333.54998779296875,325.1499938964844,326.5,326.5,33376
2020-12-18,328.8999938964844,331.0,325.04998779296875,326.6499938964844,326.6499938964844,13495
2020-12-21,339.6000061035156,343.0,324.0,328.45001220703125,328.45001220703125,45675
