Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,1172.0,1199.0,1154.5,1184.800048828125,1184.800048828125,10259
2020-08-27,1193.0999755859375,1195.0,1170.3499755859375,1180.050048828125,1180.050048828125,12028
2020-08-28,1190.6500244140625,1195.0,1159.25,1179.949951171875,1179.949951171875,14665
2020-08-31,1193.5,1200.0,1155.550048828125,1177.9000244140625,1177.9000244140625,17284
2020-09-01,1180.0,1182.0,1156.5999755859375,1179.300048828125,1179.300048828125,3718
2020-09-02,1183.300048828125,1195.0,1166.25,1180.949951171875,1180.949951171875,5128
2020-09-03,1171.25,1190.0,1170.449951171875,1184.0999755859375,1184.0999755859375,4596
2020-09-04,1177.949951171875,1180.0,1163.449951171875,1175.0999755859375,1175.0999755859375,3258
2020-09-07,1192.0,1198.0,1155.0,1162.8499755859375,1162.8499755859375,5946
2020-09-08,1162.8499755859375,1181.0,1133.5999755859375,1150.5999755859375,1150.5999755859375,9869
2020-09-09,1148.0,1158.1500244140625,1121.199951171875,1133.4000244140625,1133.4000244140625,19186
2020-09-10,1135.9000244140625,1151.0,1127.199951171875,1131.8499755859375,1131.8499755859375,4970
2020-09-11,1160.0,1164.0,1123.25,1134.449951171875,1134.449951171875,8394
2020-09-14,1174.0,1230.0,1151.3499755859375,1212.699951171875,1212.699951171875,50041
2020-09-15,1220.0,1248.0,1195.0,1209.5,1209.5,14826
2020-09-16,1217.3499755859375,1270.0,1217.300048828125,1260.25,1260.25,132542
2020-09-17,1255.0,1295.0,1244.0,1266.300048828125,1266.300048828125,51535
2020-09-18,1274.0,1294.0,1244.5,1258.75,1258.75,29702
2020-09-21,1265.5999755859375,1285.0,1201.0,1224.949951171875,1224.949951171875,26654
2020-09-22,1225.0,1225.0,1171.0,1184.949951171875,1184.949951171875,12107
2020-09-23,1189.699951171875,1196.5,1153.0,1178.949951171875,1178.949951171875,9631
2020-09-24,1178.949951171875,1188.050048828125,1155.050048828125,1165.5,1165.5,10525
2020-09-25,1153.0,1224.0,1153.0,1201.449951171875,1201.449951171875,7424
2020-09-28,1201.5,1260.0,1201.5,1244.75,1244.75,24638
2020-09-29,1254.699951171875,1259.6500244140625,1222.050048828125,1232.0,1232.0,3712
2020-09-30,1240.0,1245.0,1227.050048828125,1235.199951171875,1235.199951171875,5001
2020-10-01,1245.0,1275.0,1236.4000244140625,1267.4000244140625,1267.4000244140625,65711
2020-10-05,1278.5999755859375,1310.800048828125,1245.1500244140625,1266.8499755859375,1266.8499755859375,20725
2020-10-06,1288.9000244140625,1290.0,1245.0,1258.1500244140625,1258.1500244140625,7025
2020-10-07,1249.300048828125,1280.0,1249.300048828125,1265.5999755859375,1265.5999755859375,9459
2020-10-08,1275.699951171875,1275.699951171875,1243.3499755859375,1258.0,1258.0,11433
2020-10-09,1268.5999755859375,1268.5999755859375,1250.0,1255.050048828125,1255.050048828125,8809
2020-10-12,1266.5999755859375,1288.1500244140625,1223.6500244140625,1278.5,1278.5,17786
2020-10-13,1279.0,1289.949951171875,1271.0,1281.0999755859375,1281.0999755859375,106102
2020-10-14,1275.0,1297.9000244140625,1271.9000244140625,1284.0,1284.0,3096
2020-10-15,1289.9000244140625,1290.0,1247.9000244140625,1262.9000244140625,1262.9000244140625,4704
2020-10-16,1279.949951171875,1285.5,1250.0,1267.5,1267.5,3651
2020-10-19,1275.0,1284.699951171875,1250.5999755859375,1262.75,1262.75,4351
2020-10-20,1274.9000244140625,1284.9000244140625,1253.75,1265.300048828125,1265.300048828125,6550
2020-10-21,1256.550048828125,1293.949951171875,1256.550048828125,1287.0999755859375,1287.0999755859375,10048
2020-10-22,1280.5,1299.0,1280.5,1294.449951171875,1294.449951171875,7831
2020-10-23,1298.949951171875,1299.0,1275.8499755859375,1287.699951171875,1287.699951171875,5399
2020-10-26,1267.0,1294.9000244140625,1252.9000244140625,1264.949951171875,1264.949951171875,7582
2020-10-27,1279.3499755859375,1310.449951171875,1255.550048828125,1289.449951171875,1289.449951171875,31739
2020-10-28,1290.0,1300.0,1264.0,1274.0,1274.0,9010
2020-10-29,1265.0,1286.0,1265.0,1275.0999755859375,1275.0999755859375,7052
2020-10-30,1259.550048828125,1281.800048828125,1256.449951171875,1265.449951171875,1265.449951171875,4450
2020-11-02,1276.300048828125,1276.300048828125,1227.6500244140625,1246.550048828125,1246.550048828125,7781
2020-11-03,1230.0,1258.300048828125,1230.0,1247.8499755859375,1247.8499755859375,3468
2020-11-04,1226.0,1268.0,1194.8499755859375,1261.5999755859375,1261.5999755859375,31548
2020-11-05,1275.0,1280.0,1260.0,1271.449951171875,1271.449951171875,12208
2020-11-06,1262.0,1273.6500244140625,1250.300048828125,1265.25,1265.25,6153
2020-11-09,1280.0,1280.0,1253.75,1260.6500244140625,1260.6500244140625,3355
2020-11-10,1265.0,1265.0,1241.4000244140625,1250.800048828125,1250.800048828125,4727
2020-11-11,1266.949951171875,1295.0,1236.550048828125,1283.550048828125,1283.550048828125,18688
2020-11-12,1283.0,1342.0,1280.0,1339.6500244140625,1339.6500244140625,46751
2020-11-13,1339.6500244140625,1409.449951171875,1326.050048828125,1382.4000244140625,1382.4000244140625,63031
2020-11-17,1479.9000244140625,1550.0,1461.4000244140625,1546.25,1546.25,60147
2020-11-18,1540.199951171875,1598.4000244140625,1512.699951171875,1560.5999755859375,1560.5999755859375,42698
2020-11-19,1569.5,1594.800048828125,1555.5,1577.6500244140625,1577.6500244140625,31070
2020-11-20,1579.0,1650.0,1560.0,1639.5,1639.5,41879
2020-11-23,1690.0,1775.0,1662.0,1700.199951171875,1700.199951171875,109367
2020-11-24,1725.0,1746.550048828125,1620.4000244140625,1651.800048828125,1651.800048828125,46648
2020-11-25,1669.0,1694.0,1602.0,1633.6500244140625,1633.6500244140625,26733
2020-11-26,1660.0,1668.9000244140625,1625.050048828125,1643.4000244140625,1643.4000244140625,6525
2020-11-27,1651.0,1750.0,1623.0,1689.5,1689.5,202875
2020-12-01,1738.9000244140625,1750.0,1651.25,1688.1500244140625,1688.1500244140625,34828
2020-12-02,1696.8499755859375,1797.0999755859375,1655.5,1674.199951171875,1674.199951171875,15812
2020-12-03,1682.5999755859375,1705.0,1667.0,1671.25,1671.25,12131
2020-12-04,1675.0,1680.0,1640.050048828125,1645.699951171875,1645.699951171875,6920
2020-12-07,1666.0,1697.0,1648.050048828125,1687.050048828125,1687.050048828125,24398
2020-12-08,1695.0,1695.5,1616.5,1629.0999755859375,1629.0999755859375,9863
2020-12-09,1630.0,1653.1500244140625,1571.9000244140625,1599.949951171875,1599.949951171875,20873
2020-12-10,1619.0,1629.0,1593.050048828125,1601.75,1601.75,8459
2020-12-11,1601.75,1640.0,1587.3499755859375,1604.3499755859375,1604.3499755859375,7449
2020-12-14,1625.0,1625.0,1538.300048828125,1575.9000244140625,1575.9000244140625,24522
2020-12-15,1584.9000244140625,1620.0,1564.550048828125,1584.550048828125,1584.550048828125,27813
2020-12-16,1584.0,1649.0,1552.3499755859375,1570.050048828125,1570.050048828125,61160
2020-12-17,1590.0,1608.800048828125,1570.050048828125,1579.949951171875,1579.949951171875,13242
2020-12-18,1587.699951171875,1600.0,1550.050048828125,1557.800048828125,1557.800048828125,63177
2020-12-21,1533.0,1559.949951171875,1513.949951171875,1539.25,1539.25,37234
2020-12-22,1520.050048828125,1550.0,1466.0,1515.4000244140625,1515.4000244140625,30756
2020-12-23,1522.8499755859375,1575.0,1507.1500244140625,1561.0,1561.0,7863
2020-12-24,1598.949951171875,1598.949951171875,1541.050048828125,1560.25,1560.25,9761
2020-12-28,1585.4000244140625,1588.699951171875,1552.25,1571.1500244140625,1571.1500244140625,5912
2020-12-29,1587.0,1591.1500244140625,1539.0,1550.25,1550.25,6366
2020-12-30,1553.0,1576.1500244140625,1528.1500244140625,1572.6500244140625,1572.6500244140625,6921
2020-12-31,1580.550048828125,1590.0,1561.550048828125,1576.300048828125,1576.300048828125,5099
2021-01-01,1584.0999755859375,1610.0,1568.0,1600.050048828125,1600.050048828125,15337
2021-01-04,1658.3499755859375,1659.6500244140625,1601.949951171875,1644.25,1644.25,26670
2021-01-05,1640.0,1644.25,1605.25,1617.6500244140625,1617.6500244140625,6729
2021-01-06,1630.0,1640.0,1562.6500244140625,1582.199951171875,1582.199951171875,13424
2021-01-07,1590.0,1620.6500244140625,1570.0,1578.449951171875,1578.449951171875,13921
2021-01-08,1576.050048828125,1607.050048828125,1555.25,1581.4000244140625,1581.4000244140625,19900
2021-01-11,1615.0,1644.5,1591.25,1619.699951171875,1619.699951171875,24490
2021-01-12,1627.0,1635.449951171875,1581.0999755859375,1597.300048828125,1597.300048828125,9011
2021-01-13,1605.300048828125,1624.0,1592.9000244140625,1605.199951171875,1605.199951171875,7335
2021-01-14,1592.0,1619.949951171875,1578.6500244140625,1598.6500244140625,1598.6500244140625,11441
2021-01-15,1599.449951171875,1612.75,1570.0,1585.9000244140625,1585.9000244140625,8571
2021-01-18,1576.0,1618.0999755859375,1551.0,1600.9000244140625,1600.9000244140625,8881
2021-01-19,1600.9000244140625,1630.0,1595.300048828125,1612.9000244140625,1612.9000244140625,6247
2021-01-20,1625.949951171875,1631.9000244140625,1595.0,1611.4000244140625,1611.4000244140625,14721
2021-01-21,1616.199951171875,1638.0,1571.0999755859375,1592.800048828125,1592.800048828125,8693
2021-01-22,1600.5999755859375,1615.0,1565.9000244140625,1588.300048828125,1588.300048828125,8152
2021-01-25,1605.0,1618.0,1538.050048828125,1571.300048828125,1571.300048828125,26848
2021-01-27,1579.0,1579.0,1515.0,1522.0,1522.0,17104
2021-01-28,1522.0,1579.0,1514.75,1555.449951171875,1555.449951171875,11066
2021-01-29,1580.0,1580.0,1453.550048828125,1487.5999755859375,1487.5999755859375,20814
2021-02-01,1487.5999755859375,1551.5,1451.199951171875,1535.449951171875,1535.449951171875,35914
2021-02-02,1543.1500244140625,1640.0,1535.449951171875,1627.4000244140625,1627.4000244140625,39925
2021-02-03,1599.0,1599.0,1545.0,1587.3499755859375,1587.3499755859375,65462
2021-02-04,1595.199951171875,1643.949951171875,1595.0,1634.3499755859375,1634.3499755859375,39615
2021-02-05,1646.0,1649.9000244140625,1605.0,1609.5999755859375,1609.5999755859375,10576
2021-02-08,1595.0,1670.0,1595.0,1646.050048828125,1646.050048828125,27522
2021-02-09,1646.050048828125,1669.449951171875,1611.300048828125,1630.449951171875,1630.449951171875,10995
2021-02-10,1620.0,1656.6500244140625,1600.0,1616.9000244140625,1616.9000244140625,11132
2021-02-11,1610.0,1654.949951171875,1603.050048828125,1642.5999755859375,1642.5999755859375,12989
2021-02-12,1627.699951171875,1652.699951171875,1610.050048828125,1616.699951171875,1616.699951171875,8997
2021-02-15,1640.0,1666.0,1613.050048828125,1660.449951171875,1660.449951171875,12844
2021-02-16,1669.199951171875,1736.0,1642.199951171875,1681.9000244140625,1681.9000244140625,85484
2021-02-17,1671.0999755859375,1706.0,1638.9000244140625,1684.199951171875,1684.199951171875,20769
2021-02-18,1704.0,1742.5999755859375,1682.1500244140625,1709.550048828125,1709.550048828125,36746
2021-02-19,1712.0,1746.0,1690.0,1701.25,1701.25,28492
2021-02-22,1701.0,1936.0,1693.6500244140625,1861.3499755859375,1861.3499755859375,366956
2021-02-23,1920.0,1979.0,1800.0,1819.75,1819.75,164222
2021-02-24,1829.300048828125,1950.0,1821.949951171875,1862.75,1862.75,63856
2021-02-25,1930.0,1930.0,1865.0999755859375,1893.800048828125,1893.800048828125,117635
2021-02-26,1852.6500244140625,1929.9000244140625,1843.449951171875,1901.800048828125,1901.800048828125,42134
2021-03-01,1924.5999755859375,1938.949951171875,1909.3499755859375,1930.300048828125,1930.300048828125,45572
2021-03-02,1920.0,2002.5999755859375,1920.0,1981.550048828125,1981.550048828125,39423
2021-03-03,2000.0,2020.0,1957.0,1971.3499755859375,1971.3499755859375,36469
2021-03-04,1957.0,2015.0,1944.199951171875,1990.449951171875,1990.449951171875,67162
